"","ID_tienda","personas_tienda","x","y","area"
"1","554",2096.44148586483,-70.7382194051108,-33.3607822595192,1000
"2","554",2187.3728436446,-70.7630197536767,-33.4314373084907,1000
"3","554",3195.76479791043,-70.6522413430261,-33.453559382688,1000
"4","554",1347.58820119956,-70.727174984503,-33.328646655958,1000
"5","554",3008.18980706363,-70.6039065254754,-33.4380557353971,1000
"6","554",2613.79823171884,-70.6784106826052,-33.4025146536551,1000
"7","554",1907.04030873651,-70.7527550368557,-33.392572313787,1000
"8","554",2485.02014893538,-70.7229445866204,-33.4815247999254,1000
"9","554",2282.95989254016,-70.7766941746965,-33.5046363564765,1000
"10","554",1855.11765075698,-70.7597667570072,-33.3988381007921,1000
"11","554",1627.28817908965,-70.7688369326951,-33.5571674073107,1000
"12","554",1648.17199335596,-70.5210323007268,-33.5059617812247,1000
"13","554",2378.05779033081,-70.5702433608663,-33.4978699168737,1000
"14","554",1388.38254136384,-70.824502456646,-33.5108807598567,1000
"15","554",1533.03799510687,-70.5996498408442,-33.629288573901,1000
"16","554",2169.4805653766,-70.7631423457327,-33.5230836478251,1000
"17","554",1432.32877695918,-70.770898600905,-33.570350326779,1000
"18","554",1521.10329121399,-70.7624664461103,-33.5635946192336,1000
"19","554",2004.99270836276,-70.52538944905,-33.452078371185,1000
"20","554",1480.62203031401,-70.5174140358886,-33.3481594819948,1000
